"lhs","op","rhs","block","group","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all","std.nox"
"wPA3","~","wPA2",1,1,0.35072659147385,0.111814219637531,3.13669041925797,0.00170866441039497,0.131574748024838,0.569878434922862,0.363627342191016,0.363627342191016,0.363627342191016
"wPA3","~","wFV2",1,1,0.217246900213705,0.13329144478861,1.62986379627171,0.103130286787709,-0.0439995310192793,0.47849333144669,0.0503328918569809,0.0503328918569809,0.0503328918569809
"wFV3","~","wBMI2",1,1,-0.00133841218465063,0.0137740413478646,-0.0971691714035779,0.92259204982085,-0.0283350371480308,0.0256582127787296,-0.00380480590495867,-0.00380480590495867,-0.00380480590495867
"wFV3","~","wPA2",1,1,0.00295135405530933,0.00751967975618588,0.39248400876134,0.694700624634001,-0.0117869474420899,0.0176896555527086,0.0130810389772241,0.0130810389772241,0.0130810389772241
"wFV3","~","wFV2",1,1,0.132835886871008,0.0378892485520483,3.50589921804683,0.000455067493173811,0.0585743243077072,0.207097449434309,0.131566949414794,0.131566949414794,0.131566949414794
"wBMI4","~","wBMI3",1,1,0.305931503775958,0.0676692543257851,4.52098234011993,6.15533236536514e-06,0.173302202436738,0.438560805115179,0.3728591221332,0.3728591221332,0.3728591221332
"wBMI4","~","wPA3",1,1,0.00644022658485265,0.0200074885978072,0.321890803704293,0.747535420301555,-0.0327737304879453,0.0456541836576506,0.0131381663909469,0.0131381663909469,0.0131381663909469
"wBMI4","~","wFV3",1,1,-0.0563730439436744,0.0743266276771408,-0.758450177351608,0.448181528751437,-0.202050557283188,0.0893044693958396,-0.0269012218357133,-0.0269012218357133,-0.0269012218357133
"wPA4","~","wBMI3",1,1,0.0127468688005946,0.0992322235929572,0.128454934688164,0.897788959601648,-0.181744715547427,0.207238453148616,0.00658928438994252,0.00658928438994252,0.00658928438994252
"wPA4","~","wPA3",1,1,0.20457223444558,0.129441440238595,1.58042303970428,0.114010018694984,-0.0491283265290598,0.458272795420219,0.177008639492941,0.177008639492941,0.177008639492941
"wPA4","~","wFV3",1,1,-0.128047328113032,0.158250679547783,-0.80914235868648,0.418433265811738,-0.438212960555677,0.182118304329613,-0.0259170284549113,-0.0259170284549113,-0.0259170284549113
"wFV4","~","wBMI3",1,1,0.00659339320242083,0.016792432947944,0.392640734243819,0.694584849270232,-0.0263191705883532,0.0395059569931948,0.0175597826018329,0.0175597826018329,0.0175597826018329
"wFV4","~","wPA3",1,1,0.00710251753089189,0.0091696609876406,0.774567079466196,0.438595516425389,-0.0108696877553257,0.0250747228171094,0.0316617935201728,0.0316617935201728,0.0316617935201728
"wFV4","~","wFV3",1,1,0.0664262204898028,0.0351625321899066,1.88911936521086,0.0588758361524391,-0.00249107620764448,0.13534351718725,0.0692675218305262,0.0692675218305262,0.0692675218305262
