"model","Df","AIC","BIC","Chisq","Chisq diff","Df diff","Pr(>Chisq)"
"riBMI~~riPA free",387,317055.25044359,319506.887195716,1160.18546683353,NA,NA,NA
"riBMI~~riPA equal",389,317052.042579883,319490.391327932,1160.97760312656,1.4727357654,2,0.478850000150603
