"group","path","est.std","se","ci.lower","ci.upper","pvalue","sig"
"ses1","age -> riBMI",0.132377462478994,0.0254007990849242,0.0825928110940044,0.182162113863983,1.87272215956824e-07,"***"
"ses2","age -> riBMI",0.162192070652522,0.0286161098468817,0.106105525974992,0.218278615330053,1.44593024220541e-08,"***"
"ses3","age -> riBMI",0.190499044854676,0.0223704372210264,0.14665379358305,0.234344296126302,0,"***"
"ses1","age -> riFV",0.332565253998169,0.0247856676268354,0.283986238116791,0.381144269879546,0,"***"
"ses2","age -> riFV",0.340142959412272,0.0293516808406233,0.282614722078936,0.397671196745608,0,"***"
"ses3","age -> riFV",0.273711265007805,0.0236004235430643,0.227455284843508,0.319967245172102,0,"***"
"ses1","age -> riPA",-0.0869756288768422,0.0317051409661839,-0.149116563295328,-0.0248346944583563,0.00608314238056562,"**"
"ses2","age -> riPA",-0.109530164701799,0.0396014654994055,-0.18714761081564,-0.0319127185879591,0.00567814516420362,"**"
"ses3","age -> riPA",-0.046518952073601,0.0294256792675448,-0.104192223658616,0.0111543195114137,0.113901714763093,""
"ses1","female -> riBMI",0.0143899003136705,0.0212897694334193,-0.0273372810149929,0.056117081642334,0.499099808671067,""
"ses2","female -> riBMI",-0.0482513591994116,0.0264768278620558,-0.100144988233908,0.00364226983508446,0.0683943827180009,"."
"ses3","female -> riBMI",-0.0657034832930925,0.0204129585427271,-0.105712146854747,-0.0256948197314383,0.00128766674076064,"**"
"ses1","female -> riFV",0.26782897521908,0.0222795802557703,0.224161800327101,0.311496150111059,0,"***"
"ses2","female -> riFV",0.204823090855395,0.0264205284946446,0.153039806553378,0.256606375157413,9.10382880192628e-15,"***"
"ses3","female -> riFV",0.249106223283211,0.020737419442377,0.208461628043852,0.289750818522571,0,"***"
"ses1","female -> riPA",-0.0680813273636578,0.0257065622082669,-0.118465263458199,-0.0176973912691162,0.00808731387630268,"**"
"ses2","female -> riPA",-0.147431843696006,0.0319397758178045,-0.210032653973186,-0.0848310334188261,3.91334462856996e-06,"***"
"ses3","female -> riPA",-0.11749217585715,0.0236643658729638,-0.163873480685138,-0.0711108710291624,6.87220260031651e-07,"***"
"ses1","med -> riBMI",0.250964004511097,0.0245529918892497,0.202841024695463,0.29908698432673,0,"***"
"ses2","med -> riBMI",0.137824196177626,0.0298498336496476,0.0793195972798048,0.196328795075447,3.88855457500448e-06,"***"
"ses3","med -> riBMI",0.152883936768898,0.0237236979810815,0.106386343145872,0.199381530391923,1.16092913060584e-10,"***"
"ses1","med -> riFV",-0.0201085260520736,0.0257609246741349,-0.0705990106218272,0.03038195851768,0.435048109003882,""
"ses2","med -> riFV",0.0193281366579133,0.0288330476194756,-0.0371835982407872,0.0758398715566137,0.502636840328162,""
"ses3","med -> riFV",-0.0368855003994292,0.0237361740588448,-0.083407546685539,0.0096365458866805,0.12018958295447,""
"ses1","med -> riPA",-0.0953690475352482,0.0270144456379537,-0.148316388047953,-0.0424217070225438,0.000415091608171547,"***"
"ses2","med -> riPA",-0.00541055184439109,0.0374986598202313,-0.0789065745605636,0.0680854708717814,0.88527420736441,""
"ses3","med -> riPA",-0.0338074266445271,0.0248409416676806,-0.0824947776552414,0.0148799243661873,0.173527619705584,""
