"block","path","est","se","ci.lower","ci.upper","pvalue","sig"
"autoregressive","BMI -> BMI",0.511026040568566,0.0192353146059232,0.47332551670966,0.548726564427473,0,"***"
"autoregressive","FV -> FV",0.125186642336377,0.0107289075803757,0.104158369885382,0.146214914787372,0,"***"
"autoregressive","PA -> PA",0.2809963037935,0.0258929748684082,0.230247005598819,0.331745601988181,0,"***"
"cross-lagged","BMI -> FV",-0.00309332779000896,0.00369072644830964,-0.0103270187054853,0.00414036312546736,0.401954769423307,""
"cross-lagged","BMI -> PA",-0.070302307311275,0.0163935931632349,-0.102433159488418,-0.0381714551341324,1.79963682183093e-05,"***"
"cross-lagged","FV -> BMI",-0.059877339765812,0.0192094503704896,-0.0975271706547811,-0.0222275088768428,0.00182653734759253,"**"
"cross-lagged","FV -> PA",0.004098699045825,0.0375246444355316,-0.0694482525804883,0.0776456506721383,0.913022557375056,""
"cross-lagged","PA -> BMI",-0.0166871705209286,0.00491621767851222,-0.0263227801109717,-0.00705156093088553,0.000688015741634462,"***"
"cross-lagged","PA -> FV",0.00369589986442968,0.00201465733694631,-0.000252755957174462,0.00764455568603381,0.0665789995451611,"."
