"model","CFI","TLI","RMSEA","SRMR","AIC","BIC"
"CLPM",0.919386297681726,0.874600907504907,0.115173054503016,0.101394514037359,324299.559010862,325076.90724934
"RI-CLPM",0.992957004673228,0.98853465877037,0.0348254855684577,0.0252297551487454,317876.698382742,318693.910633451
"difference",0.0735707069915015,0.113933751265463,-0.0803475689345579,-0.0761647588886137,-6422.86062811926,-6382.9966158896
