"wavenr","n","r","spearman_brown"
1,4096,0.296423676746498,0.457294450978252
2,4427,0.274296206684056,0.430506196668078
3,5013,0.282821949921388,0.440937185302636
4,5023,0.26559868137449,0.419720224559715
5,4670,0.277460884143983,0.434394332676429
6,4415,0.255536124499959,0.407054993502048
7,4106,0.25801009370596,0.41018763680328
