"model","Df","AIC","BIC","Chisq","Chisq diff","Df diff","Pr(>Chisq)"
"riBMI~~riPA free",387,302474.110446039,304925.747198164,1094.00311643102,NA,NA,NA
"riBMI~~riPA equal",389,302470.36025589,304908.709003939,1094.25292628294,0.5488574802,2,0.760006160282304
