"lhs","rhs","est","se","z","pvalue"
"riBMI","riBMI",17.324433950519,0.511163895892618,33.892131446933,0
"riPA","riPA",4.16834033606328,0.259306175811031,16.0749751641123,0
"riFV","riFV",0.269246761547912,0.00508751345837335,52.923056371432,0
"riBMI","riPA",-1.13055303363201,0.126785671512417,-8.91704102005949,0
"riBMI","riFV",-0.0455450101950694,0.0328493212859093,-1.38648253334251,0.165599610128741
"riPA","riFV",0.10847582287936,0.0186778184461646,5.8077351587939,6.33235774927243e-09
