"SES","est.std","ci.lower","ci.upper","boot.lower","boot.upper","n_boot"
"ses1",-0.120411115301059,-0.160927220191028,-0.0798950104110907,-0.162408569272158,-0.0788183968418573,1000
"ses2",-0.128627885652434,-0.188314425512931,-0.0689413457919376,-0.188207432677292,-0.0662711414813996,1000
"ses3",-0.112518511991101,-0.158364911516255,-0.0666721124659481,-0.160130132556841,-0.0646427896960731,1000
