"group","est.std","se","ci.lower","ci.upper","pvalue","SES"
1,-0.120411115301059,0.0206718619370328,-0.160927220191028,-0.0798950104110907,5.7153648480579e-09,"ses1"
2,-0.128627885652434,0.0304528758340952,-0.188314425512931,-0.0689413457919376,2.40181220951818e-05,"ses2"
3,-0.112518511991101,0.0233914499892773,-0.158364911516255,-0.0666721124659481,1.50748417571123e-06,"ses3"
