"group","est.std","se","ci.lower","ci.upper","pvalue","SES"
1,-0.113427813621636,0.0210515135898915,-0.154688022077878,-0.0721676051653927,7.12035483907414e-08,"ses1"
2,-0.129970847652592,0.0319272809087177,-0.192547168357972,-0.0673945269472122,4.68439452632197e-05,"ses2"
3,-0.119988018285413,0.0238474369037447,-0.166728135740345,-0.0732479008304824,4.86695491019873e-07,"ses3"
