"model","CFI","TLI","RMSEA","SRMR","AIC","BIC"
"CLPM",0.918506818264359,0.873232828411225,0.115681758260285,0.101620190050668,323537.560277163,325869.604992599
"RI-CLPM",0.992709739180649,0.988132133549894,0.0353954799756939,0.0295832493112556,317055.25044359,319506.887195716
"difference",0.0742029209162909,0.11489930513867,-0.0802862782845911,-0.0720369407394122,-6482.30983357283,-6362.71779688378
